"UNITID","CIPCODE","EFNRALM","EFNRALW","EFBKAAM","EFBKAAW","EFAIANM","EFAIANW","DVEFAIM","DVEFAIW","EFHISPM","EFHISPW","EFWHITM","EFWHITW","EFUNKNM","EFUNKNW"
102049,52,5,0,6,7,2,1,1,2,1,3,225,128,3,0
102094,13,4,9,60,218,5,7,2,11,5,7,215,829,NA,NA
102094,14,114,8,69,29,4,0,21,9,7,1,411,75,NA,NA
102094,26,2,9,7,30,3,1,5,5,3,2,87,105,NA,NA
102094,27,0,0,1,4,0,0,0,0,1,0,6,6,NA,NA
102094,40,3,1,2,5,1,0,2,3,2,1,43,40,NA,NA
102094,52,84,56,96,153,5,5,15,32,7,13,649,601,NA,NA
102234,13,0,0,1,18,1,1,0,0,0,5,5,65,0,0
102234,14,1,0,0,0,0,0,0,1,1,0,8,2,0,0
102234,26,0,0,2,11,0,1,2,2,6,4,44,72,1,4
102234,27,0,0,1,0,0,0,0,0,0,0,6,5,0,0
102234,40,0,0,0,1,0,0,0,1,0,0,3,4,0,0
102234,52,15,0,7,26,0,3,2,0,13,6,96,71,3,1
102270,13,NA,3,626,732,NA,NA,NA,NA,2,3,14,7,NA,NA
102270,26,NA,3,626,732,NA,NA,NA,NA,2,3,14,7,NA,NA
102270,27,NA,NA,648,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102270,52,NA,NA,648,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102298,13,0,0,4,4,0,0,0,0,0,1,0,0,0,0
102298,26,0,0,19,53,0,0,0,0,0,0,1,0,0,0
102298,27,0,0,0,5,0,0,0,0,0,0,0,0,0,0
102298,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102298,52,0,0,41,46,0,0,0,0,0,0,0,1,0,1
102322,13,NA,NA,13,56,NA,NA,NA,5,NA,2,61,222,NA,6
102322,26,NA,NA,2,10,NA,NA,NA,NA,NA,NA,20,29,NA,3
102322,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102322,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12,NA,NA
102322,52,NA,NA,28,55,NA,3,NA,5,8,8,141,238,3,9
102359,27,0,0,3,6,0,0,1,0,0,1,7,6,0,0
102359,52,0,0,117,377,2,1,1,14,7,5,241,257,0,4
102368,13,3,3,46,94,2,4,1,3,6,3,179,362,4,24
102368,26,8,9,17,42,1,4,1,1,1,4,102,115,1,4
102368,27,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,8,7,NA,NA
102368,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
102368,52,62,55,427,385,13,5,22,13,79,41,968,602,103,64
102377,13,NA,NA,148,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102377,14,NA,NA,236,127,NA,NA,NA,NA,NA,NA,NA,NA,59,NA
102377,26,NA,NA,52,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
102377,27,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102377,52,4,NA,127,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102553,13,1,2,4,10,8,56,6,14,5,17,58,313,1,15
102553,14,4,0,1,0,19,7,5,3,3,2,103,29,6,0
102553,26,2,1,2,7,10,26,4,12,4,17,79,162,5,7
102553,27,1,0,1,2,1,3,2,2,3,0,24,24,1,0
102553,40,0,2,1,0,1,6,0,4,1,0,17,16,2,2
102553,52,37,57,25,32,36,104,30,59,26,36,298,541,20,23
